bench,suite,surface,engine,system,completed_tasks,selected_tasks,ungraded_tasks,total_failed,summary_score,score_mean_from_array,score_bootstrap_ci95_low,score_bootstrap_ci95_high,latency_median_s,latency_mean_s,latency_p90_s,latency_p95_s,latency_max_s,citations_mean,known_cost_usd,run_dir
pi-glm-5-2-evalkey-clean,browsecomp,plugin,exa,pi-openrouter-plugin-defaults-glm-5-2-nitro-exa,100,100,0,0,0.1,0.1,0.05,0.16,305.769,331.50995,628.7682999999997,725.51845,842.261,5.0,35.092297,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-plugin-defaults-glm-5-2-nitro-exa-browsecomp-pi-glm-5-2-evalkey-clean-scale-seed0-0a7faee45407
pi-glm-5-2-evalkey-clean,browsecomp,plugin,parallel,pi-openrouter-plugin-defaults-glm-5-2-nitro-parallel,100,100,0,0,0.02,0.02,0.0,0.05,256.45550000000003,252.7087,459.9517999999998,524.2128,597.926,4.15,41.94517,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-plugin-defaults-glm-5-2-nitro-parallel-browsecomp-pi-glm-5-2-evalkey-clean-scale-seed0-32ae5477ce69
pi-glm-5-2-evalkey-clean,browsecomp,plugin,perplexity,pi-openrouter-plugin-defaults-glm-5-2-nitro-perplexity,100,100,0,0,0.08,0.08,0.03,0.13,264.647,271.03851,552.2733,639.9658000000001,785.889,3.87,35.395919,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-plugin-defaults-glm-5-2-nitro-perplexity-browsecomp-pi-glm-5-2-evalkey-clean-scale-seed0-82b90a166d4c
pi-glm-5-2-evalkey-clean,browsecomp,1-turn,exa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-exa,100,100,0,0,0.14,0.14,0.08,0.21,15.072,29.827170000000002,33.99249999999999,63.31779999999957,335.298,19.3,7.207816,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-exa-browsecomp-pi-glm-5-2-evalkey-clean-scale-seed0-06922549b493
pi-glm-5-2-evalkey-clean,browsecomp,1-turn,parallel,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-parallel,100,100,0,0,0.04,0.04,0.01,0.08,23.97,56.99738,65.38469999999997,284.26664999999974,787.869,18.17,7.724872,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-parallel-browsecomp-pi-glm-5-2-evalkey-clean-scale-seed0-82226281a8eb
pi-glm-5-2-evalkey-clean,browsecomp,1-turn,perplexity,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,100,100,0,0,0.14,0.14,0.08,0.21,19.026,35.59326,41.88819999999999,53.835999999999984,643.125,18.15,5.397662,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-browsecomp-pi-glm-5-2-evalkey-clean-scale-seed0-52d447f8e97d
pi-glm-5-2-evalkey-clean,browsecomp,5-turn,exa,pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-exa,100,100,0,0,0.34,0.34,0.25,0.43,45.221000000000004,57.65644,98.47509999999996,127.75885,542.936,51.24,21.615051,runs/pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-exa-browsecomp-pi-glm-5-2-evalkey-clean-scale-seed0-324cbc93f30a
pi-glm-5-2-evalkey-clean,browsecomp,5-turn,parallel,pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-parallel,100,100,0,0,0.13,0.13,0.07,0.2,39.503,59.01242,89.84110000000001,120.6579499999999,495.651,51.3,17.006222,runs/pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-parallel-browsecomp-pi-glm-5-2-evalkey-clean-scale-seed0-a24a9c81cc83
pi-glm-5-2-evalkey-clean,browsecomp,5-turn,perplexity,pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-perplexity,100,100,0,0,0.3,0.3,0.21,0.39,35.143,64.98502,137.20909999999995,184.12514999999996,604.005,47.52,16.397989,runs/pi-openrouter-web-search-5call-defaults-glm-5-2-nitro-perplexity-browsecomp-pi-glm-5-2-evalkey-clean-scale-seed0-142793d78f88
pi-glm-5-2-evalkey-clean,browsecomp,25-turn,exa,pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-exa,100,100,0,0,0.59,0.59,0.49,0.69,118.13550000000001,215.02720000000002,529.7144,711.7262999999999,904.853,73.64,84.906317,runs/pi-glm-5-2-evalkey-clean/pi-openrouter-web-search-25call-defaults-glm-5-2-nitro-exa-browsecomp-pi-glm-5-2-evalkey-clean-scale-seed0-c70e7432d123
