bench,suite,system,surface,engine,run_dir,task_dir,task_id,attempt_number,grade_type,score,agent_latency_s,url_citations,citation_unique_urls,citation_content_chars_total,turns,tool_calls,f1_by_item,f1_by_row,precision_by_item,precision_by_row,recall_by_item,recall_by_row,success_rate
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000001-c88356b4-6ae3-5b21-adb6-576091e5dfce,c88356b4-6ae3-5b21-adb6-576091e5dfce,1,INCORRECT,0.0,23.845,20,20,11982,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000002-c1968da6-f9f8-5e9e-886b-b4a8a848cfbc,c1968da6-f9f8-5e9e-886b-b4a8a848cfbc,1,INCORRECT,0.0,48.054,15,12,20651,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000003-45d71f03-7580-518d-8cd3-7d7b06468658,45d71f03-7580-518d-8cd3-7d7b06468658,1,INCORRECT,0.0,31.388,29,26,8899,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000004-44626758-769f-5f20-93ad-2d8ef660636c,44626758-769f-5f20-93ad-2d8ef660636c,1,INCORRECT,0.0,11.951,20,18,14699,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000005-f33b8690-dced-59bf-afd9-39f52d1e423f,f33b8690-dced-59bf-afd9-39f52d1e423f,1,INCORRECT,0.0,484.735,25,22,22853,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000006-6c4c9be5-47a4-5241-8d80-0387d8094d02,6c4c9be5-47a4-5241-8d80-0387d8094d02,1,INCORRECT,0.0,20.103,20,13,18944,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000007-18f35381-9e9b-5c9a-ba57-7d82fc362874,18f35381-9e9b-5c9a-ba57-7d82fc362874,1,CORRECT,1.0,35.427,15,13,19657,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000008-e36be246-6206-5b85-9f09-53d4ec5a1657,e36be246-6206-5b85-9f09-53d4ec5a1657,1,INCORRECT,0.0,33.892,15,15,14272,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000009-de863923-7397-5fd9-b22b-2ef65afb1b65,de863923-7397-5fd9-b22b-2ef65afb1b65,1,CORRECT,1.0,13.635,15,15,21829,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000010-169667c9-633b-568a-b69e-f8a764fa4830,169667c9-633b-568a-b69e-f8a764fa4830,1,INCORRECT,0.0,15.929,19,16,25129,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000011-93ec9449-9eb2-5eac-adcb-5afa17e01588,93ec9449-9eb2-5eac-adcb-5afa17e01588,1,INCORRECT,0.0,20.337,16,13,15872,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000012-1390fff4-dd92-5661-9e1c-e6a87cdcef1b,1390fff4-dd92-5661-9e1c-e6a87cdcef1b,1,CORRECT,1.0,21.533,29,23,18466,1,0,,,,,,,
